;OPCODE					MNEMONIC		BYTES		CYCLES		DOCUMENTED	FLAGS		DESCRIPTION
1111110110010110........		sub (iy+ofs8)		3		19		1		SZ*H*VNC	Subtracts the byte of memory pointed to by .regi[] plus .ofs8[] from .reg8[7;1].
111111011001110.			sbc a,reg8index		2		8		0		SZ*H*VNC	Subtracts .regi8[] and the carry flag from .reg8[7;1].
1111110110011110........		sbc a,(iy+ofs8)		3		19		1		SZ*H*VNC	Subtracts the byte of memory pointed to by .regi[] plus .ofs8[] and the carry flag from .reg8[7;1].
111111011010010.			and reg8index		2		8		0		SZ*1*P00	Bitwise AND on .reg8[7;1] with .regi8[].
1111110110100110........		and (iy+ofs8)		3		19		1		SZ*1*P00	Bitwise AND on .reg8[7;1] with the byte of memory pointed to by .regi[] plus .ofs8[].
111111011010110.			xor reg8index		2		8		0		SZ*0*P00	Bitwise XOR on .reg8[7;1] with .regi8[].
1111110110101110........		xor (iy+ofs8)		3		19		1		SZ*0*P00	Bitwise XOR on .reg8[7;1] with the byte of memory pointed to by .regi[] plus .ofs8[].
111111011011010.			or reg8index		2		8		0		SZ*0*P00	Bitwise OR on .reg8[7;1] with .regi8[].
1111110110110110........		or (iy+ofs8)		3		19		1		SZ*0*P00	Bitwise OR on .reg8[7;1] with the byte of memory pointed to by .regi[] plus .ofs8[].
111111011011110.			cp reg8index		2		8		0		SZ*H*VNC	Subtracts .regi8[] from .reg8[7;1] and affects flags according to the result. .reg8[7;1] is not modified.
1111110110111110........		cp (iy+ofs8)		3		19		1		SZ*H*VNC	Subtracts the byte of memory pointed to by .regi[] plus .ofs8[] from .reg8[7;1] and affects flags according to the result. .reg8[7;1] is not modified.

1111110111100001			pop iy			2		14		1		--------	The word of memory pointed to by .reg16[3;1] is stored into .regi[] and .reg16[3;1] is incremented by two.
1111110111101001			jp (iy)			2		8		1		--------	Loads the value of .regi[] into .regpc[].
1111110111111001			ld sp,iy		2		10		1		--------	Loads the value of .regi[] into .reg16[3;1].

;1101110111001011			IY BIT INSTRUCTIONS
1111110111100011			ex (sp),iy		2		23		1		--------	Exchanges the word of memory pointed to by .reg16[3;1] with .regi[].

1111110111100101			push iy			2		15		1		--------	.reg16[3;1] is decremented by two and .regi[] is stored into the word of memory pointed to by .reg16[3;1].


;IY BIT INSTRUCTIONS

1111110111001011........00000110	rlc (iy+ofs8)		4		23		1		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated left one bit position. The contents of bit 7 are copied to the carry flag and bit 0.
1111110111001011........00000...	rlc (iy+ofs8),reg8	4		23		0		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated left one bit position. The contents of bit 7 are copied to the carry flag and bit 0. The result is then loaded into .reg8[].
1111110111001011........00001110	rrc (iy+ofs8)		4		23		1		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated right one bit position. The contents of bit 0 are copied to the carry flag and bit 7.
1111110111001011........00001...	rrc (iy+ofs8),reg8	4		23		0		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated right one bit position. The contents of bit 0 are copied to the carry flag and bit 7. The result is then loaded into .reg8[].
1111110111001011........00010110	rl (iy+ofs8)		4		23		1		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated left one bit position. The contents of bit 7 are copied to the carry flag and the previous contents of the carry flag are copied to bit 0.
1111110111001011........00010...	rl (iy+ofs8),reg8	4		23		0		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated left one bit position. The contents of bit 7 are copied to the carry flag and the previous contents of the carry flag are copied to bit 0. The result is then loaded into .reg8[].
1111110111001011........00011110	rr (iy+ofs8)		4		23		1		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of the carry flag are copied to bit 7.
1111110111001011........00011...	rr (iy+ofs8),reg8	4		23		0		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of the carry flag are copied to bit 7. The result is then loaded into .reg8[].
1111110111001011........00100110	sla (iy+ofs8)		4		23		1		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted left one bit position. The contents of bit 7 are copied to the carry flag and a zero is put into bit 0.
1111110111001011........00100...	sla (iy+ofs8),reg8	4		23		0		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted left one bit position. The contents of bit 7 are copied to the carry flag and a zero is put into bit 0. The result is then loaded into .reg8[].
1111110111001011........00101110	sra (iy+ofs8)		4		23		1		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of bit 7 are unchanged.
1111110111001011........00101...	sra (iy+ofs8),reg8	4		23		0		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of bit 7 are unchanged. The result is then loaded into .reg8[].
1111110111001011........00110110	sll (iy+ofs8)		4		23		0		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted left one bit position. The contents of bit 7 are put into the carry flag and a one is put into bit 0.
1111110111001011........00110...	sll (iy+ofs8),reg8	4		23		0		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted left one bit position. The contents of bit 7 are put into the carry flag and a one is put into bit 0. The result is then loaded into .reg8[].
1111110111001011........00111110	srl (iy+ofs8)		4		23		1		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted right one bit position. The contents of bit 0 are copied to the carry flag and a zero is put into bit 7.
1111110111001011........00111...	srl (iy+ofs8),reg8	4		23		0		SZ*0*P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted right one bit position. The contents of bit 0 are copied to the carry flag and a zero is put into bit 7. The result is then loaded into .reg8[].

1111110111001011........01...110	bit imm3,(iy+ofs8)	4		20		1		?Z*1*?0-	Tests bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].
1111110111001011........01......	bit imm3,(iy+ofs8)	4		20		0		?Z*1*?0-	Tests bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].

1111110111001011........10...110	res imm3,(iy+ofs8)	4		23		1		--------	Resets bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].
1111110111001011........10......	res imm3,(iy+ofs8),reg8	4		23		0		--------	Resets bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[]. The result is then loaded into .reg8[].

1111110111001011........11...110	set imm3,(iy+ofs8)	4		23		1		--------	Sets bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].
1111110111001011........11......	set imm3,(iy+ofs8),reg8	4		23		0		--------	Sets bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[]. The result is then loaded into .reg8[].
